gene
ENSG00000188290
ENSG00000187608
ENSG00000178821
ENSG00000187730
ENSG00000157873
ENSG00000142606
ENSG00000234546
ENSG00000162444
ENSG00000116661
ENSG00000120937
ENSG00000116726
ENSG00000162494
ENSG00000162493
ENSG00000117115
ENSG00000127481
ENSG00000188257
ENSG00000162545
ENSG00000117318
ENSG00000117308
ENSG00000179163
ENSG00000158022
ENSG00000175793
ENSG00000253368
ENSG00000126709
ENSG00000130766
ENSG00000197989
ENSG00000121769
ENSG00000142910
ENSG00000179862
ENSG00000127129
ENSG00000117399
ENSG00000162366
ENSG00000123080
ENSG00000184292
ENSG00000177606
ENSG00000125703
ENSG00000116717
ENSG00000162595
ENSG00000116761
ENSG00000137976
ENSG00000142871
ENSG00000143013
ENSG00000137962
ENSG00000117525
ENSG00000099260
ENSG00000060718
ENSG00000116299
ENSG00000227811
ENSG00000134245
ENSG00000203857
ENSG00000232274
ENSG00000117289
ENSG00000184678
ENSG00000143387
ENSG00000143412
ENSG00000213190
ENSG00000197747
ENSG00000143631
ENSG00000169509
ENSG00000185966
ENSG00000163202
ENSG00000198854
ENSG00000240386
ENSG00000186226
ENSG00000197084
ENSG00000196734
ENSG00000169474
ENSG00000163209
ENSG00000169469
ENSG00000163216
ENSG00000241794
ENSG00000203783
ENSG00000163218
ENSG00000163220
ENSG00000143546
ENSG00000143556
ENSG00000197956
ENSG00000196154
ENSG00000196754
ENSG00000189334
ENSG00000160678
ENSG00000228013
ENSG00000169242
ENSG00000185499
ENSG00000143320
ENSG00000231666
ENSG00000224259
ENSG00000143217
ENSG00000158869
ENSG00000158874
ENSG00000173110
ENSG00000132185
ENSG00000117152
ENSG00000143248
ENSG00000185630
ENSG00000143158
ENSG00000236719
ENSG00000143333
ENSG00000058085
ENSG00000073756
ENSG00000174307
ENSG00000163435
ENSG00000133055
ENSG00000133048
ENSG00000159388
ENSG00000170498
ENSG00000196533
ENSG00000162892
ENSG00000174059
ENSG00000232537
ENSG00000230937
ENSG00000196878
ENSG00000123689
ENSG00000162772
ENSG00000117724
ENSG00000232679
ENSG00000162722
ENSG00000184731
ENSG00000189292
ENSG00000176887
ENSG00000134321
ENSG00000162981
ENSG00000115129
ENSG00000138100
ENSG00000158125
ENSG00000115828
ENSG00000138061
ENSG00000119888
ENSG00000196975
ENSG00000163017
ENSG00000168899
ENSG00000163586
ENSG00000115590
ENSG00000115602
ENSG00000226508
ENSG00000115641
ENSG00000125538
ENSG00000125571
ENSG00000136689
ENSG00000125618
ENSG00000231943
ENSG00000163083
ENSG00000136732
ENSG00000150551
ENSG00000153234
ENSG00000128645
ENSG00000168542
ENSG00000204262
ENSG00000187699
ENSG00000144339
ENSG00000229056
ENSG00000144452
ENSG00000115414
ENSG00000115461
ENSG00000127831
ENSG00000127824
ENSG00000171951
ENSG00000135919
ENSG00000115009
ENSG00000163283
ENSG00000237412
ENSG00000168918
ENSG00000163359
ENSG00000132329
ENSG00000144485
ENSG00000218416
ENSG00000241553
ENSG00000125037
ENSG00000254999
ENSG00000157020
